RegionID,SizeRank,RegionName,RegionType,StateName,date,zhvi,zori,homeowner_affordability,renter_affordability,geo_scope
394297,677,"Aberdeen, SD",msa,SD,2026-02-28,232284.5568999959,964.0,,,metro
394298,473,"Aberdeen, WA",msa,WA,2026-02-28,316638.50680592464,1428.7698412698412,,,metro
394299,251,"Abilene, TX",msa,TX,2026-02-28,204420.12614349424,1770.018538166814,25.84074050383527,31.99518098685008,metro
394300,720,"Ada, OK",msa,OK,2026-02-28,182151.4533313649,999.0277777777778,,,metro
394302,393,"Adrian, MI",msa,MI,2026-02-28,231023.33714574613,1125.0,,,metro
394304,83,"Akron, OH",msa,OH,2026-02-28,229452.93422900408,1238.9009525543015,25.975506582438218,19.833711065688682,metro
394305,493,"Alamogordo, NM",msa,NM,2026-02-28,227461.4891072944,1468.4309764309764,,,metro
394306,295,"Albany, GA",msa,GA,2026-02-28,161617.7671569247,1047.9497354497355,23.57604138628632,20.66193052551474,metro
394308,64,"Albany, NY",msa,NY,2026-02-28,351956.8934187657,1611.334809493422,36.38279090633253,21.18400233278369,metro
394307,330,"Albany, OR",msa,OR,2026-02-28,405087.32161520864,1601.1360028860029,35.55623567931798,22.30660617881572,metro
394309,526,"Albemarle, NC",msa,NC,2026-02-28,298798.5069484054,1513.0,,,metro
394310,814,"Albert Lea, MN",msa,MN,2026-02-28,188642.099184438,,,,metro
394311,406,"Albertville, AL",msa,AL,2026-02-28,238578.83127550996,1461.111111111111,,,metro
394312,62,"Albuquerque, NM",msa,NM,2026-02-28,342448.7076241009,1502.850796813466,31.60459747111945,22.18532676787843,metro
786250,595,"Alexander City, AL",msa,AL,2026-02-28,,2200.0,,,metro
394314,286,"Alexandria, LA",msa,LA,2026-02-28,161992.71433565533,1020.0380952380953,22.23622829727426,20.92162706728956,metro
394315,711,"Alexandria, MN",msa,MN,2026-02-28,332387.2542411106,984.375,,,metro
394316,609,"Alice, TX",msa,TX,2026-02-28,129211.45407562167,,,,metro
394318,70,"Allentown, PA",msa,PA,2026-02-28,349765.3382113742,1767.4846515006684,32.52401921560064,23.90505349243362,metro
394319,684,"Alma, MI",msa,MI,2026-02-28,174805.97946168238,,,,metro
394320,824,"Alpena, MI",msa,MI,2026-02-28,185470.7828331744,,,,metro
394321,340,"Altoona, PA",msa,PA,2026-02-28,168366.0671545902,960.9722222222224,18.82816981053074,15.9780751542069,metro
394322,864,"Altus, OK",msa,OK,2026-02-28,108939.0140431995,,,,metro
394323,186,"Amarillo, TX",msa,TX,2026-02-28,212453.8558861461,1238.9041158805865,25.715994864117132,20.28098821311823,metro
394324,779,"Americus, GA",msa,GA,2026-02-28,133556.08980835482,,,,metro
394325,336,"Ames, IA",msa,IA,2026-02-28,257607.62528416564,1046.8595203967873,28.67378335753104,16.87454098213842,metro
394326,607,"Amsterdam, NY",msa,NY,2026-02-28,200181.57959707075,1331.9444444444443,,,metro
394327,139,"Anchorage, AK",msa,AK,2026-02-28,408311.8678917515,1679.182036019536,30.62154395017993,18.44841147669515,metro
394330,920,"Andrews, TX",msa,TX,2026-02-28,255210.4055422393,,,,metro
394331,774,"Angola, IN",msa,IN,2026-02-28,305611.0752773007,1103.8333333333337,,,metro
394332,148,"Ann Arbor, MI",msa,MI,2026-02-28,405507.07390837447,2038.8544081817663,34.31191460872842,25.4386824826512,metro
394333,357,"Anniston, AL",msa,AL,2026-02-28,168193.69676588092,923.5055555555556,24.35432855687164,20.04439319747322,metro
394334,197,"Appleton, WI",msa,WI,2026-02-28,335302.01555874955,1218.5370370370372,30.64805080784848,17.00187306814599,metro
394335,782,"Arcadia, FL",msa,FL,2026-02-28,246228.9226393028,,,,metro
394336,546,"Ardmore, OK",msa,OK,2026-02-28,176139.30747283428,1169.1666666666667,,,metro
394337,896,"Arkadelphia, AR",msa,AR,2026-02-28,159065.67062509252,,,,metro
394338,121,"Asheville, NC",msa,NC,2026-02-28,415437.6209971409,1756.7183313412024,36.828896249973106,25.95061654366309,metro
394339,586,"Ashland, OH",msa,OH,2026-02-28,233155.06392223155,889.9444444444445,,,metro
394340,404,"Ashtabula, OH",msa,OH,2026-02-28,172091.9846971136,1000.0,,,metro
394341,691,"Astoria, OR",msa,OR,2026-02-28,502123.7157405544,1700.361111111111,,,metro
394342,929,"Atchison, KS",msa,KS,2026-02-28,177404.67458990248,1216.6666666666667,,,metro
394346,217,"Athens, GA",msa,GA,2026-02-28,361286.1815857513,1726.3766399628469,41.40511303702014,30.15911260515381,metro
394343,521,"Athens, OH",msa,OH,2026-02-28,179071.6896392542,,,,metro
394344,584,"Athens, TN",msa,TN,2026-02-28,250437.03409378548,1153.7301587301588,,,metro
394345,446,"Athens, TX",msa,TX,2026-02-28,263659.02977444365,1371.0079365079366,,,metro
394347,9,"Atlanta, GA",msa,GA,2026-02-28,376108.097313728,1807.9933149144365,30.66327487927128,22.25623847989599,metro
394348,180,"Atlantic City, NJ",msa,NJ,2026-02-28,369317.3255482856,2163.3423288355825,36.26360240691335,30.64940283758231,metro
394351,253,"Auburn, AL",msa,AL,2026-02-28,342025.124226433,1636.792929292929,32.88297550090045,26.59902017358316,metro
394349,672,"Auburn, IN",msa,IN,2026-02-28,244174.08669091656,,,,metro
394350,464,"Auburn, NY",msa,NY,2026-02-28,219598.4907079274,1169.5,,,metro
394352,96,"Augusta, GA",msa,GA,2026-02-28,242562.9405202839,1442.233269660054,23.66171960290038,22.70761918683536,metro
394353,339,"Augusta, ME",msa,ME,2026-02-28,303419.2477095439,1420.798611111111,,,metro
394354,698,"Austin, MN",msa,MN,2026-02-28,197192.7159022441,830.0,,,metro
394355,29,"Austin, TX",msa,TX,2026-02-28,424642.2094300382,1563.2481090115027,34.7192022330914,17.931079764021728,metro
394356,823,"Bainbridge, GA",msa,GA,2026-02-28,172378.6897694051,,,,metro
394357,63,"Bakersfield, CA",msa,CA,2026-02-28,358484.19783323054,1757.0215849513345,36.38246179106449,27.74605821719612,metro
394358,20,"Baltimore, MD",msa,MD,2026-02-28,394495.4383607084,1857.133568376452,29.570569034245842,21.47188775711679,metro
394359,288,"Bangor, ME",msa,ME,2026-02-28,265914.220736228,1555.75,30.48582991333012,26.684008674673223,metro
394360,505,"Baraboo, WI",msa,WI,2026-02-28,326386.0679574013,1150.9333333333334,,,metro
