RegionID,SizeRank,RegionName,RegionType,StateName,date,zhvi,zori,homeowner_affordability,renter_affordability
395065,183,"Santa Cruz, CA",msa,CA,2026-02-28,1122722.9488676237,3358.89804779917,71.30493471511569,35.40845560554684
753917,124,"Santa Maria, CA",msa,CA,2026-02-28,975739.6013605,3279.105659976638,68.69822259494714,38.77683367514297
753899,2,"Los Angeles, CA",msa,CA,2026-02-28,954296.0881354932,2884.124774777187,67.4642945952077,33.91167606897257
395059,36,"San Jose, CA",msa,CA,2026-02-28,1605186.1530338794,3430.8720672018244,64.41873172645735,23.21779658786238
395050,125,"Salinas, CA",msa,CA,2026-02-28,833012.5949877566,2825.730053801091,61.14771378075261,34.5850847651502
394405,156,"Boulder, CO",msa,CO,2026-02-28,713733.3620557905,2237.674005656929,47.97655503842862,24.80191719105964
394639,280,"Grand Junction, CO",msa,CO,2026-02-28,421990.2330638852,1724.6264262053735,38.69634286655911,25.833747763016788
394602,152,"Fort Collins, CO",msa,CO,2026-02-28,546457.6360350531,1969.9150877379936,38.2313538184439,24.00430341629768
394530,19,"Denver, CO",msa,CO,2026-02-28,566588.16307631,1843.742786799073,36.99788144207245,19.40864330579774
395007,264,"Pueblo, CO",msa,CO,2026-02-28,284345.36460928526,1301.4481845098956,34.3550246836572,24.12443572577221
