RegionID,SizeRank,RegionName,RegionType,StateName,date,zhvi,zori,homeowner_affordability,renter_affordability
395065,183,"Santa Cruz, CA",msa,CA,2026-02-28,1122722.9488676237,3358.89804779917,71.30493471511569,35.40845560554684
753917,124,"Santa Maria, CA",msa,CA,2026-02-28,975739.6013605,3279.105659976638,68.69822259494714,38.77683367514297
753899,2,"Los Angeles, CA",msa,CA,2026-02-28,954296.0881354932,2884.124774777187,67.4642945952077,33.91167606897257
395059,36,"San Jose, CA",msa,CA,2026-02-28,1605186.1530338794,3430.8720672018244,64.41873172645735,23.21779658786238
395050,125,"Salinas, CA",msa,CA,2026-02-28,833012.5949877566,2825.730053801091,61.14771378075261,34.5850847651502
395061,175,"San Luis Obispo, CA",msa,CA,2026-02-28,889478.3235489711,3021.5062963116284,59.462578388059065,33.62021679546195
395056,17,"San Diego, CA",msa,CA,2026-02-28,928459.3690840738,2871.4440038425814,58.01935740174521,29.7752129347196
395057,12,"San Francisco, CA",msa,CA,2026-02-28,1116382.6832890837,3103.0446242787534,57.15350592563277,25.90790085932269
394900,312,"Napa, CA",msa,CA,2026-02-28,886032.313212111,2745.9523115280595,53.56616506757115,24.95735340141611
394952,71,"Oxnard, CA",msa,CA,2026-02-28,870005.7991765394,3005.057279514765,52.32587605707632,29.76935523570728
395068,112,"Santa Rosa, CA",msa,CA,2026-02-28,781998.7680665433,2615.661212039571,51.05284612753444,27.64397059994827
394405,156,"Boulder, CO",msa,CO,2026-02-28,713733.3620557905,2237.674005656929,47.97655503842862,24.80191719105964
394464,215,"Chico, CA",msa,CA,2026-02-28,396530.6148295353,1604.3656644357873,45.53840966348433,28.20897749727735
395025,13,"Riverside, CA",msa,CA,2026-02-28,580339.7471263059,2477.9727378202124,45.10325417549953,30.93068993962602
394851,177,"Merced, CA",msa,CA,2026-02-28,412987.2925727268,1875.6544715447155,44.070561292601965,32.60004943057531
